Location,Address,City,STATE,Zip,Manufacturer,Year Built
Seminole Elementary,6201 Central Ave/Blrm/Seminole Ele,Tampa,FL,33604,Weil Mclain,1951
Ponce De Leon Middle School,5801 Augusto St/Ponce De Leon Mid/B-1000,Coral Gables,FL,33146,Pacific,1951
Shadowlawn Elementary,149 Nw 49Th St/Shadowlawn/Cafe,Miami,FL,33127,American Standard,1951
Atlantic Elementary School,1205 Atlantic Ave/Rm 06-04/#0051,Fernandina Beach,FL,32034,Mt Hawley,1951
Atlantic Elementary School,1205 Atlantic Ave/Rm 06-04/#0051,Fernandina Beach,FL,32034,Mt Hawley,1951
Dorsey Skill Center,7100 Nw 17Th Ave/Htg/Dorsey Skill Ctr,Miami,FL,33147,Pacific,1951
Highlands County Courthouse/Engineering,430 S Commerce Ave/Basement,Sebring,FL,33870,Ajax Boiler,1951
Dupont Plaza Center - Blrm,300 Biscayne Blvd Way,Miami,FL,33131,Kewanee,1952
Bishop Kenny High School,1055 Kingman/Blr Rm,Jacksonville,FL,32207,National,1952
Bishop Kenny High School,1055 Kingman/Blr Rm,Jacksonville,FL,32207,National,1952
Kinloch Park Middle School,4340 Nw 3Rd St/Blrm/Kinloch Prk Mid,Miami,FL,33126,Pacific,1952
Forrest Hills Elementary School,10112 Ola Ave / Blrm,Tampa,FL,33612,Weil Mclain,1952
Adams Junior High,10201 N Blvd/Blr Rm,Tampa,FL,33612,Weil Mclain,1952
Chisholm Elementary,557 Ronnoc Lane/Bldg 15 Rm 6,New Smyrna Beach,FL,32168,Kewanee,1952
Sisters Of The Holy Name,3319 Bayshore Dr/Blr Rm,Tampa,FL,33629,Kewanee,1952
6Th Grade Building,211 W Ashley St/Blrm/6Th Grd Bldg,Jacksonville,FL,32202,Dewey Shepard,1952
Wallace Dry Cleaners,921 Martin L King Drive,Pensacola,FL,32501,Mckenna,1953
Walker Memorial Hospital/Blr Rm,2501 Us 27 N(Pd 5'6'99 On 12/17/01),Avon Park,FL,33825,Kewanee,1953
Sunland Training Center,3700 Williams Dr/Bldg 45,Marianna,FL,32446,Cleaver Brooks,1953
Sunland Training Center,3700 Williams Dr/Bldg 45,Marianna,FL,32446,Cleaver Brooks,1953
Jerry Hamm Chevrolet,2600 Phillips Hwy/Machine Rm,Jacksonville,FL,32207,Shephard,1953
Ponce De Leon Middle School,5801 Augusto St/Ponce De Leon Mid/B1000,Coral Gables,FL,33146,B.E.& S. Co,1953
Banyan Elementary,3060 Sw 85Th Ave/Blr Rm,Miami,FL,33155,Kewanee,1953
Olympia Heights Elementary School,9797 Sw 40Th Street/Blr Rm,Miami,FL,33165,Continental,1953
Fontainebleau Resort & Spa,4441 Collins Ave/Blr Rm,Miami Beach,FL,33140,Kewanee,1954
Fontainebleau Resort & Spa,4360 Collins/Blr Rm,Miami Beach,FL,33140,Kewanee,1954
Lake Shore Baptist Church,2363 Blanding Blvd/Ed Bldg,Jacksonville,FL,32210,Dewey Shepard,1954
Hialeah Senior High,251 E 47 St/Blrm 4/Hialeah Hs,Hialeah,FL,33013,Pacific,1954
Walters Mae Elementary,650 W 33Rd St/Walters Mae Es/Htg Blrm,Hialeah,FL,33012,Besco,1954
Walters Mae Elementary,650 W 33Rd St/Walter Mae/Cafe,Hialeah,FL,33012,Ames Iron Works,1954
First United Methodist Church,603 11Th Street West/Basement,Bradenton,FL,34206,Fitzgibbons,1954
Aetna Us Healthcare,841 Prudential/Blr Rm,Jacksonville,FL,32207,Superior,1954
Aetna Us Healthcare,841 Prudential/Blr Rm,Jacksonville,FL,32207,Superior,1954
Jacksonville Heights Elementary #229,7750 Tempest St/Blrm/ #229,Jacksonville,FL,32204,Weil Mclain,1954
Fairchild Elementary,5757 Sw 45 St/Blr Rm,Miami,FL,33155,Besco,1954
Union Academy School,1795 E Wabash Ave/Blrm/Union Academy,Bartow,FL,33830,Pacific,1954
Chiefland High School,808 N Main St/Blrm,Chiefland,FL,32626,Kewanee,1954
Hialeah Elementary School,550 E 8Th Street/Blr Rm 2,Hialeah,FL,33010,Us Radiator,1954
A.G. Holley Hospital,1199 W Lantana Rd/Blrm/Engin,Lantana,FL,33462,Cleaver Brooks,1955
Woodlawn Baptist Church,619 Stockton Street/Mach Rm,Jacksonville,FL,32204,Dewey Shepard,1955
Masonic Lodge F&Am #139,114 4Th St N/Blr Rm,St Petersburg,FL,33701,Dewey Shepard,1955
Shenandoah Middle School,1950 Sw 19Th Street/Blr Rm,Miami,FL,33145,Continental,1955
Department Of Citrus,1115 E Memorial/Blr Rm,Lakeland,FL,33801,National Us Radiator,1955
Support Services Facility,30 E Texar Dr/Rm 157/Hall Ctr/Support Sv,Pensacola,FL,32503,Capitol,1955
Suter Elementary,501 E Pickens Ave/Blrm/Suter Ele,Pensacola,FL,32503,Dewey Shepard,1955
Woodlawn Oaks/Boiler Room 2,1625 16Th St N/Engineering,St Petersburg,FL,33701,Kewanee,1955
Woodlawn Oaks Apartments/Blr Rm,1625 16Th St N/Engineering,St Petersburg,FL,33701,Kewanee,1955
Dunbar Elementary School/Blr Rm,1730 Union Street/Reg 2,Tampa,FL,33607,Weil Mclain(Due1'01#186),1955
First Baptist Church,19 N 5Th Street/Basement,Fernadina Beach,FL,32034,Cyclotherm,1955
Indian Creek Country Club,Indian Crk Vlg/Maint Shop,Miami Beach,FL,33154,Portmar,1955
Bay Breeze Hotel,6600 Collins Ave/Blr Rm,Miami,FL,33141,Burnham,1955
Bay Point Middle School(Early /S/ C.G.),2151 62Nd Ave S/Blr Rm,St Petersburg,FL,33712,Us National(1'02#186),1955
Morrison United Methodist Church,1005 W Main St/Blr Rm,Leesburg,FL,34748,Kewanee,1955
Mulberry High/Blr Rm,N.E. 4 Circle,Mulberry,FL,33860,Pacific,1955
Fernandina Beach Middle School,315 Citrona Drive/Rm 08-08/Fern Bch Ms,Fernandina Beach,FL,32034,Industrial Boiler,1955
Carter Parramore Middle School,631 S Stewart/Bldg 4/Carter Parramore Es,Quincy,FL,32351,Us American Raditor,1955
South Miami Middle School,6750 Sw 60 St/Blrm/So Miami Ms,Miami,FL,33143,B.E. & S. Co,1955
Riviera Middle School,10301 Sw 48Th St/Riviera Ms,Miami,FL,33165,Pacific,1955
Sheraton Bal Harbour Beach Resort,9701 Collins Avenue/Blr Rm,Bal Harbour,FL,33154,Kewanee,1956
Sheraton Bal Harbour Beach Resort,9701 Collins Avenue/Blrm,Bal Harbour,FL,33154,Kewanee,1956
St. Mark'S Missionary Baptist Church,921 Orange Ave/Blr Rm/L. Green,Ft Pierce,FL,33450,Dewey Shepard,1956
Broadmoor Elementary,3401 Nw 83Rdst/Broadmoor Es,Miami,FL,33147,B E & S,1956
Sabal Palm Elementary,17101 Ne 7 Ave/Blrm/Sabal Palm Ele,North Miami Beach,FL,33162,Cleaver Brooks,1956
Sabal Palm Elementary,17101 Ne 7 Ave/Blrm/Sabal Palm Ele,North Miami Beach,FL,33162,Cleaver Brooks,1956
Martin F C Elementary,14250 Boggs Dr/Blrm/Martin Fc Ele,Richmond Heights,FL,33176,Continental,1956
Sallye B. Mathis Elementary #91,3501 Winton Street,Jacksonville,FL,32208,Titusville,1956
Sallye B Mathis Elementary#91,3501 Winton Drive/Blrm/#91,Jacksonville,FL,32208,Tutusville,1956
Graham Elementary,2915 Massachusetts/Blrm,Tampa,FL,33602,Kewanee,1956
Colonnial Inn*2/29/00**Not**Paid******,18101 Collins Ave/General Mgr,North Miami Beach,FL,33160,Kewanee,1956
Colonial Inn**2/29/00*Insp*Not Paid),18101 Collins Ave,North Miami Beach,FL,33160,Kewanee,1956
Student Museum Bldg,301 7Th St & Myrtle Ave / Blrm,Sanford,FL,32771,Kewanee,1956
Kindred Hospital Of North Florida,801 Oak Street/Blr Rm/Dir Of Ops,Green Cove Springs,FL,32043,Continental,1956
South Florida Baptist Hospital,301 N Alexander/S Wing Eqrm,Plant City,FL,33563,Adamson Steel,1956
Jre Lee Educational Center,6521 Sw 62 Ave/Jre Lee Edu Ctr,Miami,FL,33143,Indiana Boiler - Ibr,1956
Williston High,1345 3Rd Ave/Gym/Williston Hs,Williston,FL,32696,Spencer,1956
St. Lukes Episcopal Church,130 N Magnolia Avenue /Blr Rm,Orlando,FL,32801,Weil Mclain,1956
George W Monroe Elementary,1830 W King St/Cafe.,Quincy,FL,32351,National,1956
George W Monroe Elementary,1830 W King /George W Monroe Es,Quincy,FL,32351,National Us,1956
St Johns River Community College,5001 St Johns Ave/Gym,Palatka,FL,32177,Weil Mclain,1956
Royal Palm Elementary,4200 Sw 112 Ct/Blrm,Miami,FL,33165,B.E. & S. Co,1956
St. Joseph Catholic School,535 Ave M" Nw",Winter Haven,FL,33881,Dewey Shepard,1956
Tallahassee Memorial Hospital,1300 Miccosukee Rd/Power Hse,Tallahassee,FL,32308,Orr & Sembrower,1957
Ne Florida State Hospital,"7487 S Sr 121, Power Plant",Macclenny,FL,32063,International Lamont,1957
Ne Florida State Hospital,"7487 S Sr 121, Power Plant",Macclenny,FL,32063,International,1957
Deluxe Cleaners,2216 Oak Street,Jacksonville,FL,32204,Cleaver Brooks,1957
Chalet Suzanne Foods,319 W Starr Ave/Outside Plant,Lake Wales,FL,33859,Cleaver Brooks,1957
Lee Manor,342 3Rd Ave/Basement,St Petersburg,FL,33701,Spencer,1957
Oak Crest Apartments,250 11Th Avenue Ne /Bsmt,St Petersburg,FL,33701,Weil Mclain,1957
Pickett Elementary #205,6305 Old Kings/ #205,Jacksonville,FL,32207,Continental,1957
