Location,Address,City,STATE,Zip,Manufacturer,Year Built
School Board Administration,201 W Burleigh Blvd/Sch Brd Admin,Tavares,FL,32778,Weil Mclain,1972
Cecil E Gray Middle,205 E Magnolia St/Cecil Gray Ms,Groveland,FL,32736,National,1972
Escambia County Road Prison,601 Hwy 297A/Blr Rm,Cantonment,FL,32501,Sellers,1972
Pensacola Christian College,250 Brent Lane/Ballard North,Pensacola,FL,32523,Burnham,1972
One Biscayne Tower,2 S Biscayne Blvd/Blr Rm Roof,Miami,FL,33131,Teledyne Laars,1972
One Biscayne Tower,2 S Biscayne Blvd/ Roof,Miami,FL,33131,Teledyne Laars,1972
Regal Sun Resorts,1850 Hotel Plaza Blvd/Eng,Lake Buena Vista,FL,32830,Cleaver Brooks,1972
Regal Sun Resorts,1850 Hotel Plaza/Blr Rm,Lake Buena Vista,FL,32830,Cleaver Brooks,1972
Oak Bluffs Retirement Center/Roof,420 Bay Ave/Engineering,Clearwater,FL,34616,Teledyne Laars,1972
Seralago Hotel & Suites,5678 Irlo Bronson/Lndry,Kissimmee,FL,34746,Raypak,1972
Douglas Center,617 Ontario/Blr Rm,Live Oak,FL,32702,Teledyne Laars,1972
University Community Hospital,3100 E Fletcher /Phse Ii Mech Rm,Tampa,FL,33613,York Shipley,1972
University Community Hospital,3100 E Fletcher /Phase Ii Mech Rm,Tampa,FL,33613,York Shipley,1972
The Lakeland Center,701 W Lime Stree/Shop,Lakeland,FL,33815,Pvi,1972
The Lakeland Center,701 W Lime Street/Vending Rm,Lakeland,FL,33815,Pvi,1972
The Lakeland Center,701 W Lime Street/Lk Hunter Rm Bsmt,Lakeland,FL,33815,Pvi,1972
Kendall Regional Medical Center,11750 Sw 40Th St/Mach Rm,Miami,FL,33175,Thermo-Pak,1972
Kendall Regional Medical Center,11750 Sw 40Th St/Mach Rm,Miami,FL,33175,Raypak,1972
Kendall Regional Medical Center,11750 Sw 40Th St/So Bldg,Miami,FL,33175,Raypak,1972
L A Dodgers/Dodgertown,3901 26 St/Conference Ctr,Vero Beach,FL,32961,Weben Jarco,1972
L A Dodgers/Dodgertown,3901 26 St/Conference Ctr,Vero Beach,FL,32961,Weben Jarco,1972
Los Angeles Dodgers/Dodgertown,3901 26Th St/Conference Ctr/Blr Rm,Vero Beach,FL,32960,Hydrotherm,1972
Holiday Inn,6515 International Drive,Orlando,FL,32819,Lochinvar Corporation,1972
Blue Cross Blue Shield,532 Riverside Ave/Blr Rm/Randy Ivey,Jacksonville,FL,32202,Cam Industries(5'24'1Jc),1972
Jacksonville University,2800 University /Howard Bldg,Jacksonville,FL,32211,Cleaver Brooks,1972
Bethany Towers Housing,850 Oleander/Blrm Ph,South Pasadena,FL,33707,National U S,1972
Gayfers Department Stores,20505 Us 19 S#100/Chiller Rm,Clearwater,FL,34624,Reco,1972
Palm Beach Community College,4200 Congress Ave/Blrm,Lake Worth,FL,33461,Cleaver Brooks,1972
Florida Farm Bureau,5700 Sw 34 St/Blr Rm,Gainesville,FL,32608,Cleaver Brooks,1972
Lake City Community College,149 Se Vocational Place/Lake City Cc,Lake City,FL,32025,Superior,1972
Riverside Presbyterian*8'98*Pd 5'28'2,2020 Park St/Blr Rm/Engineering,Jacksonville,FL,32204,Cleaver Brooks,1972
Westside Elementary,1 Panther Drive/Blr Rm,Glen St Mary,FL,32040,Crane,1972
Westside Elementary,1 Panther Drive/Blr Rm,Glen St Mary,FL,32040,Crane,1972
Keller Intermediate School,420  S 8Th St/Keller Intermed,Macclenny,FL,32063,National,1972
Maintenance Bldg,270 Jonathan St/Maintenance Bldg,Macclenny,FL,32063,Weil Mclain,1972
Maintenance Bldg,270 Jonathan St/Maintenance Bldg,Macclenny,FL,32063,Weil Mclain,1972
Baker Middle School/Blr Rm,211 Johnathan Street,Macclenny,FL,32063,Pvi,1972
Miami Dade Community College/Blr Rm,300 Ne 2Nd Ave,Miami,FL,33132,Thermo Pak,1972
Nova University,3301 College Avenue/209 Sonken,Ft Lauderdale,FL,33314,Lochinvar Corporation,1972
Lackawanna  Fundamental Magnet,3108 Lenox Ave/Lackawanna Fund Mag,Jacksonville,FL,32254,H B Smith,1972
Lake Shore Middle School,2519 Bayview/Lake Shore Ms,Jacksonville,FL,32210,H B Smith,1972
Lake Shore Middle School,2519 Bayview/Lake Shore Ms,Jacksonville,FL,32210,H B Smith,1972
Lake Shore Middle School,2519 Bayview Dr/Lake Shore Ms,Jacksonville,FL,32210,H B Smith,1972
Sadie Tillis School #116,6084 Morse Ave#116//Blrm,Jacksonville,FL,32210,H B Smith,1972
Piccadilly Cafeteria,2007 Palm Beach Lakes Blvd/Blr Rm,West Palm Beach,FL,33409,Kewanee,1972
Holiday Inn,6515 International Drive,Orlando,FL,32819,Lochinvar Corporation,1972
Midtown Professional Bldg,14 W Jordan/Mech Rm,Pensacola,FL,32503,Raypak,1972
Physicians Laboratory,14 West Jordan/Mech Rm,Pensacola,FL,32501,American Standard,1972
Physicians Laboratory,14 W Jordan/Mech Rm,Pensacola,FL,32501,Weil Mclain,1972
St. Mark United Methodist,2203 N. 12Th Ave.,Pensacola,FL,32503,Raypak,1972
Shades Of Green,1950 W Magnolia Palm Dr/Blr Rm,Lake Buena Vista,FL,32830,Cleaver Brooks,1972
The Parks Health Care Assoc,9309 Orange Blossom/Blr Rm,Orlando,FL,32837,Raypak,1972
Highpoint Elementary,6033 150Th Ave N/Highpoint Es/Blrm,Clearwater,FL,33760,Kewanee,1972
Longwood Elementary School,Holly Avenue,Shalimar,FL,32579,"Market Forge Industries, Inc.",1972
Longwood Elementary School,Holly Avenue,Shalimar,FL,32579,Chemline Corp,1972
Magic Kingdom/Car Care Center,Po Box 10000,Lake Buena Vista,FL,32830,American Radiator,1972
Ramada Inn/Blr Rm,20349 N. Us Hwy 27,Clermont,FL,34711,Pvi,1972
South Plantation High School,1300 Paladin Way/So Plantatn Hs,Plantation,FL,33317,Kewanee,1972
Siesta Towers(Cv Corrected/Pd'01In12'01),4822 Ocean Blvd/Blr Rm 12Th Floor,Sarasota,FL,34242,Ajax,1972
Pablo Towers,115 South 3Rd St/Blrm/Engin,Jacksonville Beach,FL,32250,Patterson Kelly,1972
Brown Barge Middle School,201 Hancock Lane/#3/Brown Barge Ms,Pensacola,FL,32503,Thermo-Pak,1972
Marlin Apartments/Blr Rm,22 Tulip Ave,Cocoa Beach,FL,32931,American Standard,1972
South Florida Community College,600 College Dr/Trtmt D,Avon Park,FL,33825,Weil Mclain,1972
Warrington Middle School,450 S Old Cory Road/Blr Rm,Pensacola,FL,32507,Precision,1972
The Langford Apartments,315 East New England Avenue,Winter Park,FL,32790,Kewanee,1972
Bardmoor Elementary School,8900 Greenbriar Road/Blr Rm,Largo,FL,33771,Cam Industries,1972
Havana Northside High,64 Carver Ave/Main Blr Rm Bldg 1,Havana,FL,32333,Peerless,1972
Booker High/Old Gym Blr Rm,3201 N Orange Ave,Sarasota,FL,34234,Kewanee,1972
Fruitville Elementary,601 Honore Avenue/Kitchen,Sarasota,FL,34232,Welbilt,1972
Winter Park Retirement Center,1550 Gay Road/Blr Rm,Winter Park,FL,32789,Avco,1972
Rollins College/Rollins Hall/Engineering,1000 Holt Ave,Winter Park,FL,32789,Burnham,1972
Bird Key Yacht Club,301 Bird Key Dr/Mech Rm,Sarasota,FL,34236,Dewey Shepard,1972
Venice High School,1 Indian Avenue/North Gym,Venice,FL,34285,Kewanee,1972
Venice High,1 Indian Ave/Venice Hs/Bldg 37,Venice,FL,34285,Kewanee,1972
Ferry Pass Middle School,8355 Yancey Avenue,Pensacola,FL,32504,Thermo-Pak,1972
Harwood Maingate East,5678 W Irlo Bronson Memorial Hwy/Kitche,Kissimmee,FL,34746,Pvi,1972
Workman Middle School,6299 Lanier Dr/#3 Blr Rm,Pensacola,FL,32504,Thermo-Pak,1972
John'S Island Beach Club,350 Beach Road/Blrm,Vero Beach,FL,32960,A O Smith Water Products Co,1972
Boulevard Motel,1349 N Woodland Blvd,Deland,FL,32720,Shepard Heater Co,1972
Superior Dry Cleaners,26 Jefferson St,Chattahoocheee,FL,32324,Industrial Boiler,1973
Topaz Cleaners(12/7/98 **Not Paid****,4220 Moncrie(Operating W/O Valid License,Jacksonville,FL,32254,Williams & Davis,1973
Boca Greens Cleaners,19575-16 South State Road 7,Boca Raton,FL,33498,Fulton,1973
Dry Cleaning Depot,3470 W Broward Blvd,Ft Lauderdale,FL,33312,Cleaver Brooks,1973
Busch Gardens,3605 Bougainville/Train Maint.,Tampa,FL,33612,Crown,1973
Anheuser Busch Companies,111 Busch Dr/Pwrhse/Brewery,Jacksonville,FL,32218,Babcock & Wilcox,1973
Aventura Hospital Medical Ctr,20900 Biscayne Blvd/Blr Rm,Miami,FL,33180,Cleaver Brooks,1973
Aventura Hospital Medical Ctr,20900 Biscayne Blvd/Blr Rm,Miami,FL,33180,Cleaver Brooks,1973
University Of Miami Hospital,1400 Nw 12Th Avenue,Miami,FL,33136,Raypak,1973
Westside Regional Medical Ctr,8201 Westbroward Blvd/W Blrm,Plantation,FL,33324,Cleaver Brooks,1973
Columbia Westside Medical Center,8201 West Broward/W Blrm,Plantation,FL,33324,Cleaver Brooks,1973
Fish Memorial Hospital,245 E New York Ave,Deland,FL,32720,Cleaver Brooks Ins Cance,1973
Florida Hospital Deland,701 W Plymouth/Blr Rm,Deland,FL,32720,Cleaver Brooks,1973
Florida Hospital Deland,701 Plymouth/Blr Rm,Deland,FL,32720,Cleaver Brooks,1973
Ft Walton Beach Medical Center,1000 Marwalt Drive/Blr Rm,Ft Walton Beach,FL,32547,Cleaver Brooks,1973
Columbia Hca Healthcare/Engineering,1000 Marwalt Dr('01 Change Name #403),Ft Walton Beach,FL,32547,Cleaver Brooks/Blr Rm,1973
Florida Hospital Deland,701 W Plymouth Ave/Blrm,Deland,FL,32720,Cleaver Brooks,1973
Leesburg Regional Medical Ctr,700 N Palmetto N Campus/Blr Rm,Leesburg,FL,34748,Kewanee,1973
Palms Of Pasadena Hospital,1501 Pasadena/Blr Rm,South Pasadena,FL,33707,Trane,1973
Palms Of Pasadena,1609 Pasadena Ave South/Blrm,South Pasadena,FL,33707,Trane,1973
Pasco Regional Medical Center,13100 Ft King Rd/Blr Rm,Dade City,FL,33525,Cam Industries,1973
 Doctor'S Hospital,5000 University Dr,Coral Gables,FL,33146,Cleaver Brooks,1973
Doctors Hospital,5000 University Drive/Blr Rm,Coral Gables,FL,33146,Cleaver Brooks,1973
Baptist Hospital  Of Miami,8900 N Kendall Dr/Blrm,Miami,FL,33176,Cleaver Brooks,1973
Busch Gardens,3605 Bouganville Ave/Train Maint,Tampa,FL,33612,Crown,1973
Blake Medical Center,2020 59Th Street West/Blrm,Bradenton,FL,34209,York Shipley,1973
Hca University Hospital,7201 N University Drive / Blrm,Tamarac,FL,33321,Cleaver Brooks,1973
University Hospital & Med Ctr,7201 N University/Blr Rm,Tamarac,FL,33321,Cleaver Brooks,1973
St Johns Cty Health & Human Resources,1955 Us Hwy 1 S/Blr Rm B2,St Augustine,FL,32086,Clv Brooks(Du 5'9'1#305),1973
St Johns Cty Health & Human Resources,1955 Us Hwy 1 S/Blr Rm B1/Mark Kees,St. Augustine,FL,32086,Clv Brooks(Du 5'9'1#305),1973
Jasper Laundry & Dry Cleaners,214 Martin Luther King Dr Sw,Jasper,FL,32052,Industrial Boiler,1973
Cy'S Linen Service,510 W 28Th St/Blr Rm,Hialeah,FL,33010,Cleaver Brooks,1973
Marise Laundry,1866 Nw 36Th Street,Miami,FL,33142,Cleaver Brooks,1973
Foley'S Dry Cleaning,225 South Dixie Freeway,New Smyrna Beach,FL,32168,Cleaver Brooks,1973
Florida Hospital Apopka,201 N Park Avenue/Blr Rm,Apopka,FL,32703,Trane,1973
Blake Medical Center,2020 59Th Street West/Blrm,Bradenton,FL,34209,York Shipley,1973
Tempo Cleaners,223 Oxford Road,Fern Park,FL,32730,Industrial Boiler,1973
"Jones Chemicals, Inc.",515 9Th St,Jacksonville,FL,32206,York Shipley,1973
Laurel Hill School,8079 4Th St/Laurel Hill Sch/Blrm,Laurel Hill,FL,32567,Cam Industries,1973
Ramada Inn/Roof,5100 Sr 7,Ft. Lauderdale,FL,33303,Raypak,1973
Howard Johnson/Early/Gen. Mgr,2520 N. 50 Street/Blr Rm,Tampa,FL,33619,Raytherm,1973
Jacaranda Manor/Blr Rm,4250 66Th St N/Engineering,St. Petersburg,FL,33728,Crane,1973
Lake Wales Senior High/Locker Rm,1009 North 6Th Street,Lake Wales,FL,33853,Patterson Kelly,1973
Days Inn Kissimmee,5245 W Irlo Bronson Memorial Hwy/Kitche,Kissimmee,FL,34746,A O Smith Water Products Co,1973
Episcopal Catholic,500 Ave L"/Blr Rm",Winter Haven,FL,33881,Pvi Industries,1973
Holiday Inn/Laundry Blr Rm,21485 Nw 27Th Ave,Miami,FL,33056,Raypak,1973
Gp Woods Memorial Hospital/Daryl Jones,5847 S Sr 31/Buchanan Blr Rm,Arcadia,FL,34266,Kewanee,1973
Gp Woods Memorial Hospital/Lincoln Blr,5847 S Sr 31/Daryl Jones,Arcadia,FL,34266,Kewanee,1973
Oak Ridge High,6000 Winegard Rd/Oak Ridge Hs,Orlando,FL,32809,Weil Mclain,1973
Oak Ridge High,6000 Winegard Rd/Oak Ridge Hs,Orlando,FL,32809,National,1973
Columbia Elementary School,650 Columbia School Road,Orlando,FL,32833,National,1973
Union Park Middle School,1844 Westfall Dr/Union Prk Ms,Orlando,FL,32817,Weil Mclain,1973
Union Park Middle School,1844 Westfall Dr/Union Prk Ms,Orlando,FL,32817,National,1973
Lee Middle School,1201 Maury Rd/Rm 702,Orlando,FL,32804,Weil Mclain,1973
Orlo Vista Elementary,3 N Hastings St/Blr Rm,Orlando,FL,32835,Weil Mclain,1973
Rock Lake Elementary,408 Tampa Ave/Rock Lake Es/Blrm,Orlando,FL,32805,Weil Mclain,1973
Tacachale Mimosa/Blr Rm/Bldg 140,1621 Waldo Road,Gainesville,FL,32609,Burnham,1973
Florida Highway Safety & Motor Vehicles,2900 Apalachee Parkkway/Blrm,Tallahassee,FL,32399,Steam Pak,1973
Fl Highway Safety And Motor Vehicle,2900 Apalachee Pwy/Blr Rm,Tallahassee,FL,32399,Steam Pak,1973
North Fl Reception Ctr,Cr 231 S/Heat Plt/N Fl Recept'N,Lake Butler,FL,32054,Cleaver Brooks,1973
University Of South Florida,13301 Bruce B Downs/Mer 2112,Tampa,FL,33620,Nasco,1973
Flagler Palm Coast High/Central Blr Rm,Highway 100 E,Bunnell,FL,32210,Nasco,1973
Jacksonville University,2800 University/Gooding Bldg,Jacksonville,FL,32211,Cleaver Brooks,1973
Fletcher Middle #63,2000 N 3Rd St/Blr Rm,Jacksonville,FL,32250,H B Smith,1973
Sparr Elementary,2525 East Cr 329/Blrm 4/Sparr Es,Sparr,FL,32192,Bryan,1973
Suntrust Banks,220 W Garden St/Blrm/Engin,Pensacola,FL,32503,Cleaver Brooks,1973
Vernon High,210 Jackson Ave/Gym/Vernon Hs,Vernon,FL,32462,Rheem,1973
Embry Riddle Aeronautical University,600 S Clyde Morris/Student Ctr,Daytona Beach,FL,32114,Sellers,1973
Alliance Bank/Blr House,455 South Orange Ave,Orlando,FL,32801,Cleaver Brooks,1973
Baptist Medical Center,800 Prudential/Energy Ctr,Jacksonville,FL,32207,Cleaver Brooks,1973
Homestead Hospital,160 Nw 13Th St/Aux Blrm,Homestead,FL,33030,Cleaver Brooks,1973
Unity Healthcare,1404 Nw 22Nd St/Blr Rm,Miami,FL,33142,A O Smith Water Products Co,1973
Unity Healthcare,1404 Nw 22 St/Blr Rm,Miami,FL,33142,A O Smith Water Products Co,1973
Bond Elementary,2204 Saxon St/Blr Rm,Tallahassee,FL,32304,Iron Fireman,1973
Police Athletic League,202 13Th Ave/Engineering/Blr Rm Gym,Bradenton,FL,34202,Ajax,1973
Police Athletic League,202 13Th Avenue/Blr Rm,Bradenton,FL,34202,Ajax,1973
Quality Inn,4050 Ferndon Blvd,Crestview,FL,33011,Raypak,1973
Pensacola News Journal,101 E Romana St/Roof,Pensacola,FL,32501,Patterson Kelley,1973
First Baptist Church Of Tlh,108 W College/Women'S Locker,Tallahassee,FL,32301,Electro Steam,1973
Loretto Elementary School #30,3900 Loretto Rd/ Bsmt Blrm/ #30,Jacksonville,FL,32233,H B Smith,1973
Sears Roebuck & Company Warehouse,3825 Forsyth Road,Winter Park,FL,32792,Cleaver Brooks,1973
Sunbelt Living Center/Blr Rm,2414 Bedford Road,Orlando,FL,32803,Cleaver Brooks,1973
Flagler College/Blr Rm,74 King St/Engineering,St Augustine,FL,32095,Cleaver Brooks,1973
Eckerd College,4200 54Th Avenue South/Gym,St. Petersburg,FL,33711,Rudd,1973
Bel-Air Apartments,1200 102Nd Avenue,St. Petersburg,FL,33702,Rheem,1973
Desoto Correctional/Chief Engineer,13615 Se Hwy 70/D-6 Confine,Arcadia,FL,34266,Lochinvar Corporation,1973
Ryder Systems,3600 Nw 82Nd Avenue/Machine Rm,Miami,FL,33166,Cam Industries,1973
Ryder Systems,3600 Nw 82Nd Avenue/Machine Rm,Miami,FL,33166,Cam Industries,1973
Shade Of Green,1950 W Magnolia Palm Dr/Fount.Pool,Lake Buena Vista,FL,32830,Teledyne Laars,1973
Admiralty House*2'00 Insp*Pd 3'7'2,140 Seaview Ct/Engineering/Roof,Marco Island,FL,34145,A O Smith Water Products Co,1973
Admiralty House - Roof,140 Seaview Court,Marco Island,FL,33145,A O Smith Water Products Co,1973
Bahia Mar Beach Resort/Mech Rm,801 Seabreeze Blvd,Ft Lauderdale,FL,33316,Raypak,1973
South Florida Community College,600 College Dr/Trtmt B,Avon Park,FL,33825,Bryan,1973
Lake Wales Sr High,1009 N 6 St/Blrm/Lake Wales Hs,Lake Wales,FL,33853,Coates,1973
Gadsden Technical Institute,201 Ml King Blvd/Gadsden Tech,Quincy,FL,32351,Industrial Boiler,1973
King'S Point Retirement Apts,7000 W Atlantic/Kitchen,Delray Beach,FL,33446,Lochinvar Corporation,1973
Holiday Inn - Disney,1805 Hotel Plaza Blvd/Chief Engineer,Lake Buena Vista,FL,32830,Kewanee,1973
Southern Community Bank,444 Seabreeze Blvd/Roof,Daytona Beach,FL,32118,Cleaver Brooks,1973
Lake Stevens Middle School,18484 Nw 48Th Place/Lake Stevens Ms,Miami,FL,33055,A O Smith Water Products Co,1973
Lake Stevens Middle School,18484 Nw 48Th Pl/Chiller,Miami,FL,33055,A O Smith Water Products Co,1973
W R Thomas Middle School,13001 Sw 26Th St/Blr Rm,Miami,FL,33175,A O Smith Water Products Co,1973
W R Thomas Middle School,13001 Sw 26Th St/Blr Rm,Miami,FL,33175,A O Smith Water Products Co,1973
Southside Elementary,1901 Webber Street/Blrm #33,Sarasota,FL,34239,Kewanee,1973
Days Inn/Blr Rm*Cv 3/20/2#11 Srv Less,28610 Hwy 27/Engineering,Dundee,FL,33839,Pvi(Due 10'21'1#333),1973
Amsouth Building,5401  Kirkman Rd/Orlando/Amsouth,Orlando,FL,32819,Cleaver Brooks,1973
Sneads High,8066 Old Spanish Trail/Sneads Hs,Sneads,FL,32460,Kewanee,1973
Gemini Condo Association,336 Golfview Road,N Palm Beach,FL,33408,Thermo Pak,1973
Olympian Cleaners,11926 Seminole Blvd,Largo,FL,33778,Industrial Boiler,1974
Uni Central Fl*2'20'2 Insp*Not Paid**,4000 Central Fl Blvd/Bioscience Bldg,Orlando,FL,32816,Cleaver Brooks(12'1#306),1974
Brevard Correctional,855 Camp Road/Laundry Blr Rm,Cocoa,FL,32927,Cleaver Brooks,1974
Atlantic Medical Center,400 N Clyde Morris/Blrm,Daytona Beach,FL,32114,Rite,1974
Atlantic Medical Center,400 N Clyde Morris Blvd/Blrm,Daytona Beach,FL,32114,Rite,1974
Venice Hospital,540 The Rialto/Blr Rm,Venice,FL,34285,York Shipley,1974
Bert Fish Medical Center,401 Palmetto Street/Blrm,New Smyrna Beach,FL,32168,Iron Fireman,1974
The Lakeland Center,701 W Lime Street/Ice/Ammonia R,Lakeland,FL,33815,Chromalox,1974
Miami Childern'S Hospital,3100 Sw 62Nd Ave/Variety Blrm,Miami,FL,33155,Cleaver Brooks,1974
Parkway West Regional Hospital,17300 & 17330 7Th Ave Nw/Blr Rm,Miami,FL,33169,Cleaver Brooks,1974
Parkway West Regional Medical Center,17300 Nw 7Th Ave/Blr Rm,Miami,FL,33169,Cleaver Brooks,1974
Largo Medical Center,201 14 Street/Blrm,Largo,FL,33770,Cleaver Brooks,1974
Memorial Regional Hospital,3600 Washington St/Blr Rm,Hollywood,FL,33021,Orr & Sembrower,1974
Memorial Regional Hospital,3600 Washington St/Blr Rm,Hollywood,FL,33021,Orr & Sembrower,1974
West Florida Hospital,8383 North Davis Highway,Pensacola,FL,32514,Cleaver Brooks,1974
West Florida Hospital,8383 Davis Highway/Blrm,Pensacola,FL,32514,Cleaver Brooks,1974
West Florida Hospital,8383 N Davis Highway/Blrm,Pensacola,FL,32514,Cleaver Brooks,1974
Mark'S Quality Cleaners,1201 20Th Street,Miami Beach,FL,33139,Superior,1974
Northridge Medical Center,5757 Dixie Hwy N/Blr Rm,Ft Lauderdale,FL,33334,Sellers,1974
Northridge Medical Center,5757 Dixie Hwy/Blr Rm,Ft Lauderdale,FL,33334,Sellers,1974
Largo Medical Center,201 14Th Street/Blr Rm,Largo,FL,33770,Cleaver Brooks,1974
"Thermal Tech, Inc",5552 Commerce Park Blvd,Tampa,FL,33610,Cleaver Brooks,1974
C W Ruckel Middle School,201 N Parten/Blr Rm,Niceville,FL,32531,Sellers,1974
Days Inn/Blr Rm/Engineering,9359 Us Highway 19 North,Pinellas Park,FL,34666,Pvi,1974
Sheraton Sand Key/Engineering,1160 Gulf Blvd/Blr Rm,Clearwater,FL,34630,Raypak,1974
Sheraton Sand Key/Engineering,1160 Gulf Blvd/Blr Rm,Clearwater,FL,34630,Raypak,1974
Sheraton Sand Key/Engineering,1160 Gulf Blvd/Blr Rm,Clearwater,FL,34630,Raypak,1974
Mulberry Middle School,500 Se Ninth Ave/Mulberry Ms,Mulberry,FL,33860,A O Smith Water Products Co,1974
West Zephyrhills Elementary School,37900 14Th Ave/Kit/0091 W Zephyrhills,Zephyrhills,FL,34248,Cleveland Range,1974
Martin County High,2801 S Kanner Hwy/Lockekr Rm,Stuart,FL,34994,Cam Industries,1974
Coral Springs Middle School,10300 W Wiles Rd/Coral Sprgs Ms,Coral Springs,FL,33065,Cleaver Brooks,1974
Hallandale Elementary,120 Sw 4 Ave/Hallandale Elem,Hallandale,FL,33009,Cleaver Brooks,1974
Brevard Correctional Institute,855 Camp Rd/Bldg E/Mail Add. Corr3'0,Cocoa,FL,32927,Burnham,1974
Brevard Correctional Institute,850 Camp Road/Bldg J,Sharpes,FL,32959,Burnham,1974
Brevard Correctional,850 Camp Rd/Bldg A,Cocoa,FL,32927,Burnham,1974
Hiawassee Elementary School,6800 Hennephin Blvd,Orlando,FL,32818,Weil Mclain(3'2'02),1974
Hiawassee Elementary,6800 Hennephin Blvd,Orlando,FL,32818,Weil Mclain(3'2'02),1974
Tavares High,533 New Hampshire/Blr Rm,Tavares,FL,32778,Weil Mclain,1974
Tavares High,533 New Hampshire/Blr Rm,Tavares,FL,32778,Weil Mclain,1974
Eustis Elementary,714 E Citrus Ave/Yard,Eustis,FL,34726,Abco,1974
Carver Middle School,1200 N Beecher St/Blr Rm,Leesburg,FL,34748,Bryan,1974
S Bryan Jennings Elementary,215 Corona Dr/Kit/Sb Jennings Ele,Orange Park,FL,32073,"Market Forge Industries, Inc.",1974
Zephyrhills High School,6335  12Th Street/Kit/#0131,Zephyrhills,FL,33540,Cleveland Range,1974
Zepyhrhills High School,6335  12Th Street/Kit/#0131,Zepyhrhills,FL,33540,Cleveland Range,1974
Zephyrhills High School,6335 12Th St/Blr Rm,Zephyrhills,FL,33540,Jackson(2'02#186),1974
Bayonet Point Middle School,11125 Little Rd/Kit/Bayonet Point,New Port Richey,FL,34654,Cleveland Range,1974
Land O Lakes High School,20325 Gator Lane /Kit/0801,Land O Lakes,FL,34639,Cleveland Range,1974
Land O Lakes High School,20325 Gator Lane /Switch Panel/0801,Land O Lakes,FL,34649,Jackson,1974
Community Health  South Dade,10300 Sw 216 St/Blr Rm,Miami,FL,33190,Aerco Corp,1974
North Dade Detention Center,15801 State Road 9 /Blr Rm,Miami,FL,33169,Cleaver Brooks,1974
The Charter Club Inc-Blrm,600 Ne 36Th Street,Miami,FL,33137,Thermo,1974
Heritage Hotel,7900 S Orange Blossom Tr/Blrm,Orlando,FL,32809,Pvi Industries,1974
Atlantic Medical Center,400 N Clyde Morris/Blr Rm,Daytona Beach,FL,32114,Sellers,1974
Police Station,2050 Ringling/Blr Rm,Sarasota,FL,33577,National Us,1974
Piccadilly Cafeteria,1700 Int'L Spdwy Daytona/Blr Rm,Daytona Beach,FL,32014,Bryan,1974
Piccadilly Cafeteria,"1700 Int'L Spdwy,Daytona/Blr Rm",Daytona Beach,FL,32114,Bryant,1974
Windmoor Hca Of Clearwater,11300 Us Hwy 19/Blr Rm,Clearwater,FL,33764,Raypak,1974
Countryside Country Club,3001 Countryside Blvd/Blr Rm,Clearwater,FL,33761,Kewanee,1974
N Marion Middle School,2085 Nw Cr 329/Girls Gym/N Marion Ms,Citra,FL,32113,Pvi,1974
Lake Weir High,10351 Se Maricamp Rd/Gym/Lk Weir Hs,Ocala,FL,34472,Pvi,1974
Lake Weir High,10351 Se Cr 464/Ag Shop 18/22/Lk Weir Hs,Ocala,FL,34472,Pvi,1974
Lake Weir Middle School,10220 Se Sunset Harbor Rd/Lk Weir Ms,Summerfield,FL,34491,Lochinvar Corporation,1974
Chipola Community College,3094 Indian Cir/Health Building,Marianna,FL,32446,A O Smith Water Products Co,1974
Chipola Community College,3094 Indian Cir/Health Building,Marianna,FL,32446,A O Smith Water Products Co,1974
Scenic Heights Elementary,3801 Cherry Laurel Dr/Blr Rm,Pensacola,FL,32504,A O Smith Water Products Co,1974
Univeristy Club Of Orlando,150 E Central Blvd/Blr Rm,Orlando,FL,32801,Weil Mclain,1974
Apopka City Hall,120 E Main St/Blr Rm,Apopka,FL,32703,Bryan,1974
Brickell Bay Club Condo,2333 Brickell Ave/Blrm/Eng,Miami,FL,33129,Cleaver Brooks,1974
Brickell Bay Club Condo,2333 Brickell Ave/Blr Rm,Miami,FL,33129,Cleaver Brooks,1974
Leto High School/Blr Rm,4409 W Sligh Ave/Gary Bailey,Tampa,FL,33614,Weil Mclain,1974
Leto High School/Blr Rm,4409 W Sligh Ave/Gary Bailey,Tampa,FL,33614,Weil Mclain,1974
Silver Thatch Atlantic Plaza,531 N Ocean Blvd/Roof,Pompano Beach,FL,33062,Thermo Pak,1974
Silver Thatch Atlantic Plaza,525 N Ocean Blvd/Roof,Pompano Beach,FL,33062,Thermo Pak,1974
Sheraton Yankee Clipper,1140 Seabreeze Blvd/Blrm Roof,Ft Lauderdale,FL,33316,Hydrotherm,1974
Edison Elementary School,1507 E Curtis Street / Blrm,Tampa,FL,33610,Weil Mclain,1974
Stewart Junior School/Reg 1/Blr Rm,1125 Spruce Street,Tampa,FL,33607,Pvi(1'28'1#186),1974
Santa Fe Community College,3000 Nw 83Rd St/Blr Rm D,Gainesville,FL,32602,Cleaver Brooks,1974
Epsilon Zeta Chapter,528 W Jefferson/Blr Rm,Tallahassee,FL,32301,Bryan,1974
Miami Dade Community College,11380 Nw 27 Ave/Miami Dade/Bldg 900 #912,Miami,FL,33167,Hydrotherm,1974
Desert Inn Beach & Tennis/Engineering,17301 Collins Ave/Blr Rm,Sunny Isles Beach,FL,33160,Kewanee,1974
Bascom Palmer Eye Institute,900 Nw 17Th Street/Mech Rm,Miami,FL,33136,Cleaver Brooks,1974
